cid,MW,LogP,TPSA,HBD,HBA,RotBonds,AromaticRings,AliphaticRings,FractionCSP3,HeavyAtoms,MolMR,NumRings
85,162.209,-0.4717999999999998,57.53,2,2,4,0,0,0.8571428571428571,11,41.159,0
119,103.12100000000001,-0.19009999999999982,63.31999999999999,2,2,3,0,0,0.75,7,25.924199999999995,0
137,131.13099999999997,-0.621,80.39,2,3,4,0,0,0.6,9,30.931199999999997,0
143,473.44600000000025,-0.7310999999999972,219.83999999999997,7,9,10,2,1,0.3,34,120.78230000000005,3
146,459.46300000000025,-0.257699999999999,202.76999999999998,7,9,9,2,1,0.35,33,120.64230000000006,3
158,352.47100000000006,3.251100000000002,94.83000000000001,3,4,12,0,1,0.7,25,97.14340000000004,1
159,352.471,3.4085000000000027,86.99000000000001,3,4,10,0,2,0.75,25,95.95240000000005,2
160,354.487,3.0429000000000026,97.99000000000001,4,4,12,0,1,0.75,25,98.14320000000005,1
175,59.044000000000004,-1.2438,40.129999999999995,0,2,0,0,0,0.5,4,10.681000000000001,0
187,146.21,0.25570000000000004,26.3,0,2,3,0,0,0.8571428571428571,10,39.5324,0
191,267.245,-1.979999999999999,139.54000000000002,4,9,2,2,1,0.5,19,62.74480000000002,3
206,180.156,-3.2213999999999987,110.38000000000001,5,6,1,0,1,1.0,12,35.98599999999999,1
214,354.487,3.475100000000003,94.83000000000001,3,4,13,0,1,0.8,25,97.23740000000005,1
222,17.031,0.16199999999999998,35.0,1,1,0,0,0,0.0,1,5.0221,0
232,174.20399999999998,-1.548099999999999,127.71999999999998,4,3,5,0,0,0.6666666666666666,12,45.522,0
244,108.13999999999997,1.1788999999999998,20.23,1,1,1,1,0,0.14285714285714285,8,32.364799999999995,1
247,117.14799999999998,-1.5574999999999983,40.129999999999995,0,2,2,0,0,0.8,8,27.906399999999987,0
271,40.078,-0.3808,0.0,0,0,0,0,0,0.0,1,5.754,0
297,16.043,0.6361,0.0,0,0,0,0,0,1.0,1,6.731,0
298,323.13200000000006,0.9089999999999998,112.70000000000002,3,5,6,1,0,0.36363636363636365,20,72.5667,1
303,408.5790000000002,3.448700000000003,97.99000000000001,4,4,4,0,4,0.9583333333333334,29,110.03720000000007,4
305,104.17299999999999,-0.3150999999999999,20.23,1,1,2,0,0,1.0,7,29.985199999999985,0
311,192.12300000000002,-1.2485,132.13,4,4,5,0,0,0.5,13,37.09119999999999,0
312,35.453,-2.996,0.0,0,0,0,0,0,0.0,1,0.0,0
338,138.12199999999999,1.0903999999999998,57.53,2,2,1,1,0,0.0,10,35.06609999999999,1
401,102.093,-1.6248999999999993,64.35,2,3,0,0,1,0.6666666666666666,7,22.0701,1
444,239.74599999999998,3.2993000000000023,29.1,1,2,3,1,0,0.46153846153846156,16,68.13320000000004,1
450,272.388,3.6092000000000026,40.46,2,2,0,1,3,0.6666666666666666,20,78.73060000000004,4
453,182.172,-3.585399999999998,121.38000000000001,6,6,5,0,0,1.0,12,38.19879999999999,0
564,131.17499999999998,0.5901000000000001,63.31999999999999,2,2,5,0,0,0.8333333333333334,9,35.15819999999999,0
581,163.198,-0.4945,66.4,3,3,3,0,0,0.6,10,39.093500000000006,0
596,243.21900000000002,-2.562999999999999,130.83,4,8,2,1,1,0.5555555555555556,17,55.918800000000026,2
598,142.201,-0.19599999999999984,54.370000000000005,2,3,2,0,0,1.0,7,30.268599999999996,0
612,90.07799999999999,-0.5482,57.53,2,2,1,0,0,0.6666666666666666,6,19.3166,0
679,78.13600000000001,-0.005299999999999971,17.07,0,1,0,0,0,1.0,4,19.990399999999998,0
681,153.181,0.5989999999999995,66.48,3,3,2,1,0,0.25,11,42.53000000000001,1
698,270.37199999999996,3.8174000000000032,37.3,1,2,0,1,3,0.6111111111111112,20,77.73080000000004,4
699,350.43600000000004,3.293400000000001,80.67,1,4,2,1,3,0.6111111111111112,24,88.24260000000007,4
700,61.083999999999996,-1.0626,46.25,2,2,1,0,0,1.0,4,16.140200000000004,0
727,290.832,3.644400000000001,0.0,0,0,0,0,1,1.0,12,57.84600000000002,1
738,146.146,-1.336199999999999,106.41,3,3,4,0,0,0.6,10,34.03959999999999,0
750,75.06700000000001,-0.9702999999999999,63.31999999999999,2,2,1,0,0,0.5,5,16.6902,0
753,92.09399999999998,-1.6681000000000001,60.69,3,3,2,0,0,1.0,6,20.178400000000003,0
767,62.02400000000001,0.2224,57.53,2,1,0,0,0,0.0,4,10.6536,0
772,1134.934000000001,-10.711900000000018,610.4900000000001,15,30,21,0,4,0.8846153846153846,70,200.7087999999998,4
774,111.14800000000001,-0.08910000000000007,54.7,2,2,2,1,0,0.4,8,31.346099999999996,1
785,110.11199999999997,1.0977999999999999,40.46,2,2,0,1,0,0.0,8,29.771599999999992,1
813,39.098,-2.996,0.0,0,0,0,0,0,0.0,1,0.0,0
815,484.50300000000016,-7.291399999999999,282.60999999999996,11,15,6,0,3,1.0,33,107.79220000000002,3
838,183.207,0.35059999999999986,72.72,4,4,3,1,0,0.3333333333333333,13,48.65810000000003,1
853,776.872,4.557300000000002,92.78,3,4,5,2,0,0.13333333333333333,24,124.80600000000003,2
861,650.9760000000001,3.9527000000000014,92.78,3,4,5,2,0,0.13333333333333333,23,112.08900000000003,2
888,24.305,-0.3808,0.0,0,0,0,0,0,0.0,1,5.754,0
896,232.283,1.8551,54.120000000000005,2,2,4,2,0,0.3076923076923077,17,67.23840000000003,2
923,22.99,-2.996,0.0,0,0,0,0,0,0.0,1,0.0,0
937,122.10299999999997,-0.5549000000000002,53.019999999999996,0,3,1,1,0,0.0,9,28.567499999999995,1
942,162.23600000000002,1.8483,16.130000000000003,0,2,1,1,1,0.5,12,48.842000000000034,2
946,46.005,0.25060000000000004,52.489999999999995,0,3,0,0,0,0.0,3,9.161999999999999,0
948,44.013,-0.1584,53.470000000000006,0,1,0,0,0,0.0,3,8.86,0
951,169.18,0.08989999999999976,86.71000000000001,4,4,2,1,0,0.25,12,43.785800000000016,1
961,17.007,-0.1768,30.0,0,1,0,0,0,0.0,1,1.9358,0
1003,96.98599999999999,-1.5606000000000002,80.59,2,2,0,0,0,0.0,5,12.0441,0
1046,123.115,-0.42450000000000004,68.87,1,3,1,1,0,0.0,9,30.549899999999997,1
1054,169.17999999999998,0.08022000000000001,73.58000000000001,3,4,2,1,0,0.375,12,42.484400000000015,1
1065,324.4240000000001,3.173200000000002,45.59,1,4,4,2,3,0.45,24,95.02680000000007,5
1071,286.45900000000006,5.510300000000006,20.23,1,1,5,0,1,0.5,21,93.21180000000004,1
1084,112.131,-1.0065,63.19,0,4,0,0,0,0.0,5,17.0622,0
1125,241.25100000000003,-1.7001999999999988,136.29,6,7,2,1,1,0.5555555555555556,17,62.8581,2
1130,265.36199999999997,0.60774,75.91,2,5,4,2,0,0.4166666666666667,18,70.32420000000002,2
1134,242.231,-1.5142799999999992,104.55000000000001,3,6,2,1,1,0.6,17,57.679300000000026,2
1206,149.23699999999997,1.837,12.03,1,1,3,1,0,0.4,11,48.66770000000003,1
1301,252.24499999999998,-1.2941999999999987,49.36,0,3,3,2,0,0.21428571428571427,18,63.92200000000003,2
1546,285.691,-0.2974000000000001,119.31,3,8,2,2,1,0.5,19,66.36500000000001,3
1690,544.5330000000004,-0.7154999999999992,207.68999999999997,6,11,5,2,3,0.4444444444444444,39,130.45510000000007,5
1727,94.117,0.6638000000000001,38.91,1,2,0,1,0,0.0,7,28.6494,1
1775,252.273,1.7696,58.2,2,2,2,2,1,0.06666666666666667,19,70.33840000000004,3
1798,237.286,-1.4265999999999994,106.03,2,5,2,1,0,0.4,14,48.9669,1
1805,244.207,-3.167999999999999,143.72000000000003,4,9,2,1,1,0.625,17,53.71380000000002,2
1875,474.55000000000035,2.2193,138.2,3,7,6,0,4,0.6923076923076923,34,120.33840000000006,4
1971,286.33900000000006,1.0922999999999998,101.88,3,7,4,2,2,0.5,21,79.74990000000001,4
1972,924.091000000001,0.7117000000000056,319.60999999999996,12,17,3,0,3,0.6595744680851063,65,236.99119999999942,3
1978,336.4320000000001,2.3655,87.66,3,5,10,1,0,0.5555555555555556,24,94.62470000000005,1
