cid,MW
85,162.209
119,103.121
137,131.13099999999997
143,473.44600000000025
146,459.46300000000025
158,352.47100000000006
159,352.471
160,354.487
175,59.044
187,146.21
191,267.245
206,180.156
214,354.487
222,17.031
232,174.20399999999998
244,108.13999999999996
247,117.14799999999998
271,40.078
297,16.043
298,323.13200000000006
303,408.5790000000002
305,104.173
311,192.123
312,35.453
338,138.122
401,102.093
444,239.746
450,272.388
453,182.172
564,131.17499999999998
581,163.198
596,243.219
598,142.201
612,90.078
679,78.13600000000001
681,153.181
698,270.37199999999996
699,350.43600000000004
700,61.084
727,290.832
738,146.146
750,75.06700000000001
753,92.09399999999998
767,62.02400000000001
772,1134.934000000001
774,111.148
785,110.11199999999997
813,39.098
815,484.50300000000016
838,183.207
853,776.872
861,650.9760000000001
888,24.305
896,232.283
923,22.99
937,122.10299999999997
942,162.23600000000002
946,46.005
948,44.013
951,169.18
961,17.007
1003,96.986
1046,123.115
1054,169.17999999999998
1065,324.4240000000001
1071,286.45900000000006
1084,112.131
1125,241.25100000000003
1130,265.36199999999997
1134,242.231
1206,149.23699999999997
1301,252.245
1546,285.691
1690,544.5330000000004
1727,94.117
1775,252.273
1798,237.286
1805,244.207
1875,474.5500000000003
1971,286.33900000000006
1972,924.091000000001
1978,336.4320000000001
1983,151.165
1986,222.251
1990,75.067
1993,160.23699999999997
2019,1255.4379999999985
2021,332.353
2022,225.208
2082,265.338
2083,239.315
2085,521.0500000000003
2088,249.096
2092,389.4560000000002
2094,136.114
2099,294.35800000000006
2118,308.772
2123,210.285
2130,151.253
2133,502.5790000000003
2140,613.9150000000001
2141,214.227
2142,585.6080000000003
2145,232.283
2148,194.18999999999997
2153,180.167
2156,646.3270000000002
2159,369.48700000000014
2160,277.411
2161,298.298
2162,408.88200000000035
2163,225.26799999999992
2168,317.51700000000005
2170,313.788
2171,365.4110000000001
2173,348.4040000000001
2182,256.092
2215,267.328
2216,245.11299999999997
2249,266.34099999999995
2265,277.26900000000006
2284,213.66399999999996
2311,424.49700000000024
2315,421.4220000000001
2337,165.19199999999998
2341,239.36199999999997
2344,307.437
2345,212.248
2349,334.39700000000005
2350,388.8950000000002
2351,366.5490000000002
2366,136.19799999999995
2367,472.44600000000014
2369,307.434
2370,161.22499999999997
2375,430.3790000000001
2391,361.3970000000001
2405,325.449
2431,243.168
2435,292.14
2441,316.158
2442,376.1360000000002
2443,654.6060000000002
2462,430.5410000000002
2471,364.42300000000006
2474,288.43500000000006
2476,467.65000000000026
2477,385.5120000000001
2478,246.306
2479,212.24899999999997
2484,317.476
2487,327.46799999999996
