cid,se_id,se_name,freq_lo,freq_hi,freq_text,placebo
10028615,C0002871,Anaemia,0.0399347,0.0500204,5%,0.0
10028615,C0011570,Depression,0.0206559,0.0242971,2.43%,0.0
10028615,C0011603,Dermatitis,0.0201459,0.0223615,2.24%,0.0
10028615,C0012569,Diplopia,,,,
10028615,C0015230,Rash,0.0201459,0.0223615,2.24%,0.0
10028615,C0017181,Gastrointestinal haemorrhage,0.03,0.04,4%,0.0
10028615,C0019080,Haemorrhage,0.001,0.25,13.4%,0.0
10028615,C0035309,Retinal disorder,,,,
10028615,C0151699,Haemorrhage intracranial,0.003,0.004,0.4%,0.0
10028615,C0240066,Iron deficiency,,,,
10028615,C0518015,Haemoglobin,0.001,0.25,25%,0.0
10028615,C0948089,Acute coronary syndrome,,,,
1003,C0000731,Abdominal distension,0.31,0.41,39%,0.0
1003,C0000737,Abdominal pain,0.23,0.25,25%,0.0
1003,C0002792,Anaphylactic shock,,,,
1003,C0003811,Arrhythmia,,,,
1003,C0003862,Arthralgia,,,,
1003,C0004093,Asthenia,,,,
1003,C0004245,Atrioventricular block,,,,
1003,C0006266,Bronchospasm,,,,
1003,C0009676,Confusional state,,,,
1003,C0011168,Dysphagia,,,,
1003,C0011603,Dermatitis,,,,
1003,C0011991,Diarrhoea,,,,
1003,C0012833,Dizziness,,,,
1003,C0013362,Dysarthria,,,,
1003,C0013404,Dyspnoea,,,,
1003,C0015230,Rash,,,,
1003,C0015672,Fatigue,,,,
1003,C0016204,Flatulence,0.31,0.41,39%,0.0
1003,C0018681,Headache,,,,
1003,C0018790,Cardiac arrest,,,,
1003,C0020517,Hypersensitivity,,,,
1003,C0020580,Hypoaesthesia,,,,
1003,C0020649,Hypotension,,,,
1003,C0022660,Renal failure acute,,,,
1003,C0027497,Nausea,0.26,0.37,37%,0.0
1003,C0027709,Nephrocalcinosis,,,,
1003,C0028961,Oliguria,,,,
1003,C0029442,Osteomalacia,,,,
1003,C0030193,Pain,,,,
1003,C0030554,Paraesthesia,,,,
1003,C0032343,Poisoning,,,,
1003,C0033774,Pruritus,,,,
1003,C0035078,Renal failure,,,,
1003,C0036572,Convulsion,,,,
1003,C0037763,Muscle spasms,,,,
1003,C0038999,Swelling,,,,
1003,C0039621,Tetany,,,,
1003,C0039971,Thirst,,,,
1003,C0042109,Urticaria,,,,
1003,C0042963,Vomiting,0.04,0.1,9%,0.0
1003,C0043094,Weight increased,,,,
1003,C0085620,Paralysis flaccid,,,,
1003,C0085632,Apathy,,,,
1003,C0085649,Oedema peripheral,,,,
1003,C0151539,Blood urea increased,,,,
1003,C0151602,Swelling face,,,,
1003,C0151786,Muscular weakness,,,,
1003,C0232487,Abdominal discomfort,,,,
1003,C0232492,Abdominal pain upper,,,,
1003,C0233471,Flat affect,,,,
1003,C0235431,Blood creatinine increased,,,,
1003,C0236024,Pharyngeal oedema,,,,
1003,C0236071,Throat tightness,,,,
1003,C0237314,Heart rate irregular,,,,
1003,C0278134,Sensory loss,,,,
1003,C0429098,Electrocardiogram QRS complex,,,,
1003,C0522055,Electrocardiogram abnormal,,,,
1003,C0687713,Gastrointestinal pain,0.23,0.25,25%,0.0
1003,C0853619,Local swelling,,,,
1003,C0948594,Musculoskeletal discomfort,,,,
1003,C1443060,Feeling abnormal,,,,
1003,C1565489,Renal impairment,,,,
1003,C1720775,Renal tubular necrosis,,,,
1003,C2697368,Gastrointestinal tract irritation,,,,
1003,C2747793,Acute phosphate nephropathy,,,,
10096344,C0001339,Pancreatitis acute,0.0,0.001,postmarketing,0.0
10096344,C0002792,Anaphylactic shock,0.0,0.001,postmarketing,0.0
10096344,C0002994,Angioedema,0.0,0.001,postmarketing,0.0
10096344,C0003862,Arthralgia,,,,
10096344,C0004604,Back pain,,,,
10096344,C0009450,Infection,,,,
10096344,C0009806,Constipation,0.001,0.01,uncommon,0.0
10096344,C0010200,Cough,0.001,0.0209655,2.1%,0.0
10096344,C0011603,Dermatitis,0.0,0.001,postmarketing,0.0
10096344,C0011849,Diabetes mellitus,,,,
10096344,C0011991,Diarrhoea,0.0298713,0.0328276,3.28%,0.0
10096344,C0015230,Rash,0.0,0.001,postmarketing,0.0
10096344,C0017178,Gastrointestinal disorder,,,,
10096344,C0018681,Headache,,,,
10096344,C0020473,Hyperlipidaemia,,,,
10096344,C0020517,Hypersensitivity,0.0,0.001,postmarketing,0.0
10096344,C0020557,Hypertriglyceridaemia,,,,
10096344,C0020615,Hypoglycaemia,,,,
10096344,C0021053,Immune system disorder,0.0,0.001,postmarketing,0.0
10096344,C0025061,Mediastinal disorder,,,,
10096344,C0027441,Nasopharyngitis,0.001,0.070069,7.01%,0.0
10096344,C0030196,Pain in extremity,,,,
10096344,C0030305,Pancreatitis,0.0,0.01,postmarketing,0.0
10096344,C0037274,Skin disorder,0.0,0.001,postmarketing,0.0
10096344,C0041912,Upper respiratory tract infection,,,,
10096344,C0042029,Urinary tract infection,,,,
10096344,C0042109,Urticaria,0.0,0.001,postmarketing,0.0
10096344,C0043094,Weight increased,,,,
10096344,C0085129,Bronchial hyperreactivity,,,,
10096344,C0162429,Malnutrition,,,,
10096344,C0231528,Myalgia,,,,
10096344,C0237849,Skin exfoliation,,,,
10096344,C0853692,Blood triglycerides increased,,,,
10096344,C0948594,Musculoskeletal discomfort,,,,
10096344,C1384353,Infestation,,,,
10100,C0000737,Abdominal pain,,,,
10100,C0001339,Pancreatitis acute,,,,
10100,C0003811,Arrhythmia,,,,
10100,C0004093,Asthenia,,,,
10100,C0004134,Ataxia,,,,
10100,C0009421,Coma,,,,
10100,C0009676,Confusional state,,,,
10100,C0009806,Constipation,,,,
10100,C0011603,Dermatitis,,,,
10100,C0011991,Diarrhoea,,,,
10100,C0012833,Dizziness,,,,
10100,C0013220,Drug tolerance,,,,
10100,C0013404,Dyspnoea,,,,
10100,C0015230,Rash,,,,
10100,C0015397,Eye disorder,,,,
10100,C0017178,Gastrointestinal disorder,,,,
