cid,name,atc,smiles_raw,smiles_sanitized,ts
100000085,carnitine,A16AA01,CCOC(=O)[C@@]1(C[C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)N,CCOC(=O)C1(N)CC1S(=O)(=O)c1ccc(Cl)cc1,1762199357
100000119,gamma-aminobutyric,L03AA03,C1[C@H]([C@@]1(CN)CO)S(=O)(=O)C2=CC=C(C=C2)Cl,NCC1(CO)CC1S(=O)(=O)c1ccc(Cl)cc1,1762199679
100000137,5-aminolevulinic,L01XD04,C1[C@H]([C@]1(CN)C(=O)O)S(=O)(=O)C2=CC=C(C=C2)Cl,NCC1(C(=O)O)CC1S(=O)(=O)c1ccc(Cl)cc1,1762199680
100000143,leucovorin,V03AF03,COC1=C(C(=C(C=C1)[C@@H]2CC(=O)OC3=CC(=C(C(=C23)OC)OC)OC)OC)OC,COc1ccc(C2CC(=O)Oc3cc(OC)c(OC)c(OC)c32)c(OC)c1OC,1762199681
100000146,5-methyltetrahydrofolate,,C[C@](CNS(=O)(=O)CCC(F)(F)F)(C1=CC2=CC=CC=C2O1)O,CC(O)(CNS(=O)(=O)CCC(F)(F)F)c1cc2ccccc2o1,1762199682
100000158,PGE2,G02AD02,CC(C)(C)OC(=O)N[C@]1(C[C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)CN,CC(C)(C)OC(=O)NC1(CN)CC1S(=O)(=O)c1ccc(Cl)cc1,1762199682
100000159,prostacyclin,B01AC09,CC(C)C1=CC(=NO1)[C@H]2CCCN2C(=O)CN(C)CC3=CN=CC=C3,CC(C)c1cc(C2CCCN2C(=O)CN(C)Cc2cccnc2)no1,1762199683
100000160,prostaglandin,G02AD01,C[C@@](CNS(=O)(=O)C1=CC=CC2=NSN=C21)(C3=CC4=CC=CC=C4O3)O,CC(O)(CNS(=O)(=O)c1cccc2nsnc12)c1cc2ccccc2o1,1762199683
100000175,acetate,G01AD02,COC[C@]1(C[C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)CN,COCC1(CN)CC1S(=O)(=O)c1ccc(Cl)cc1,1762199684
100000187,acetylcholine,S01EB09,C[C@@](CNS(=O)(=O)C1=CC(=C(C=C1)OC)C(=O)N)(C2=CC3=CC=CC=C3O2)O,COc1ccc(S(=O)(=O)NCC(C)(O)c2cc3ccccc3o2)cc1C(N)=O,1762199684
100000191,adenosine,C01EB10,C[C@](CNS(=O)(=O)C1=CC(=C(C=C1)OC)C(=O)N)(C2=CC3=CC=CC=C3O2)O,COc1ccc(S(=O)(=O)NCC(C)(O)c2cc3ccccc3o2)cc1C(N)=O,1762199685
100000206,glucose,A12AA07,CC[C@H](C1=C(C=C(C=C1)C)C)NC(=O)C2=CC=C(C=C2)CSC3=CC=CC=C3,CCC(NC(=O)c1ccc(CSc2ccccc2)cc1)c1ccc(C)cc1C,1762199685
100000214,PGE1,C01EA01,CC1=CC2=C([C@@H](CC(=O)O2)C3=CC4=C(C(=C3)OC)OCCO4)C(=O)N1CCC5=CC=C(C=C5)O,COc1cc(C2CC(=O)Oc3cc(C)n(CCc4ccc(O)cc4)c(=O)c32)cc2c1OCCO2,1762199686
