cid,name,pubchem_url,n_side_effects,smiles,side_effects_list
85,carnitine,https://pubchem.ncbi.nlm.nih.gov/compound/85,58,C[N+](C)(C)CC(CC(=O)O)O,Nausea; Headache; Dermatitis; Rash; Vomiting; Dizziness; Diarrhoea; Pruritus; Asthenia; Hypersensitivity; Abdominal pain; Gastrointestinal pain; Body temperature increased; Gastrointestinal disorder; Pain; Constipation; Dyspnoea; Dyspepsia; Decreased appetite; Musculoskeletal discomfort; Insomnia; Hypotension; Paraesthesia; Infection; Tachycardia; Cough; Myalgia; Hypertension; Chest pain; Anxiety; Anaemia; Convulsion; Vertigo; Palpitations; Back pain; Muscle spasms; Dysgeusia; Angiopathy; Oedema peripheral; Eye disorder; Arrhythmia; Pharyngitis; Haemorrhage; Haemoglobin; Rhinitis; Sinusitis; Urinary tract infection; Renal failure; Weight increased; Depression; Weight decreased; Bronchitis; Influenza; Muscular weakness; Gastritis; Atrial fibrillation; Injury; Injection site reaction
119,gamma-aminobutyric,https://pubchem.ncbi.nlm.nih.gov/compound/119,4,C(CC(=O)O)CN,Urticaria; Pain; Anaphylactic shock; Angioedema
137,5-aminolevulinic,https://pubchem.ncbi.nlm.nih.gov/compound/137,39,C(CC(=O)O)C(=O)CN,Nausea; Headache; Dermatitis; Rash; Vomiting; Diarrhoea; Pruritus; Urticaria; Body temperature increased; Gastrointestinal disorder; Pain; Hypotension; Paraesthesia; Skin disorder; Nervous system disorder; Thrombocytopenia; Infection; Oedema; Discomfort; Anaemia; Convulsion; Erythema; Mental disorder; Angiopathy; Chills; Nervousness; Tension; Cardiac disorder; Eye disorder; Haemorrhage; Haemoglobin; Hypoaesthesia; Infestation; Hepatobiliary disease; Photosensitivity reaction; Aspartate aminotransferase increased; Alanine aminotransferase increased; Dry skin; Neoplasm
143,leucovorin,https://pubchem.ncbi.nlm.nih.gov/compound/143,45,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,Nausea; Dermatitis; Rash; Vomiting; Dizziness; Diarrhoea; Pruritus; Asthenia; Hypersensitivity; Abdominal pain; Urticaria; Gastrointestinal pain; Body temperature increased; Gastrointestinal disorder; Feeling abnormal; Fatigue; Constipation; Dyspnoea; Dyspepsia; Decreased appetite; Skin disorder; Anaphylactic shock; Thrombocytopenia; Infection; Shock; Discomfort; Confusional state; Loss of consciousness; Convulsion; Leukopenia; Syncope; Malaise; Ill-defined disorder; Erythema; Dysgeusia; Alopecia; Chills; Neuropathy peripheral; Stomatitis; Abdominal pain upper; Anaphylactoid reaction; Blood creatinine increased; Lethargy; Renal failure acute; Renal impairment
146,5-methyltetrahydrofolate,https://pubchem.ncbi.nlm.nih.gov/compound/146,0,CN1C(CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,None
158,PGE2,https://pubchem.ncbi.nlm.nih.gov/compound/158,51,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,Nausea; Headache; Dermatitis; Rash; Vomiting; Dizziness; Diarrhoea; Asthenia; Hypersensitivity; Abdominal pain; Gastrointestinal pain; Body temperature increased; Pain; Dyspnoea; Musculoskeletal discomfort; Hypotension; Paraesthesia; Anaphylactic shock; Hyperhidrosis; Tachycardia; Shock; Arthralgia; Cough; Myalgia; Hypertension; Chest pain; Loss of consciousness; Syncope; Back pain; Muscle spasms; Tremor; Vision blurred; Angiopathy; Immune system disorder; Chills; Tension; Flushing; Arrhythmia; Pharyngitis; Acute coronary syndrome; Myocardial infarction; Bronchospasm; Asthma; Anaphylactoid reaction; Dehydration; Cardiac arrest; Urinary retention; Menopausal symptoms; Hot flush; Eye pain; Deafness
159,prostacyclin,https://pubchem.ncbi.nlm.nih.gov/compound/159,90,CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,Nausea; Headache; Dermatitis; Rash; Vomiting; Dizziness; Diarrhoea; Pruritus; Asthenia; Hypersensitivity; Abdominal pain; Urticaria; Gastrointestinal pain; Body temperature increased; Gastrointestinal disorder; Pain; Fatigue; Constipation; Dyspnoea; Dyspepsia; Decreased appetite; Musculoskeletal discomfort; Insomnia; Somnolence; Hypotension; Paraesthesia; Skin disorder; Anaphylactic shock; Nervous system disorder; Thrombocytopenia; Infection; Hyperhidrosis; Tachycardia; Shock; Arthralgia; Cough; Oedema; Myalgia; Dry mouth; Chest pain; Anxiety; Confusional state; Loss of consciousness; Anaemia; Syncope; Palpitations; Back pain; Muscle spasms; Agitation; Tremor; Mental disorder; Angiopathy; Mediastinal disorder; Flatulence; Chills; Nervousness; Tension; Flushing; Cardiac disorder; Oedema peripheral; Connective tissue disorder; Pharyngitis; Haemorrhage; Haemoglobin; Rhinitis; Hypoaesthesia; Bradycardia; Sinusitis; Urinary tract infection; Infestation; Epistaxis; Haematuria; Pneumonia; Acute coronary syndrome; Myocardial infarction; Depression; Weight decreased; Pancytopenia; Abdominal distension; Abdominal discomfort; Gastritis; Orthostatic hypotension; Arthritis; Cardiac failure; Thirst; Hepatic failure; Eczema; Injection site reaction; Sepsis; Pulmonary oedema
160,prostaglandin,https://pubchem.ncbi.nlm.nih.gov/compound/160,13,CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,Nausea; Vomiting; Diarrhoea; Hypersensitivity; Abdominal pain; Gastrointestinal pain; Body temperature increased; Hypotension; Back pain; Angiopathy; Immune system disorder; Bradycardia; Sepsis
175,acetate,https://pubchem.ncbi.nlm.nih.gov/compound/175,2,CC(=O)[O-],Pain; Haematuria
187,acetylcholine,https://pubchem.ncbi.nlm.nih.gov/compound/187,5,CC(=O)OCC[N+](C)(C)C,Dyspnoea; Hypotension; Hyperhidrosis; Flushing; Bradycardia
